outer_fold,risk_head,candidate,family,params_json,inner_brier
6,irrelevant_exposure_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.2532204584565208
6,irrelevant_exposure_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.25361748966013226
6,irrelevant_exposure_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.2587588757589034
6,irrelevant_exposure_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.2728561164635297
6,irrelevant_exposure_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.28772580581073764
6,false_warmup_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.17274267919652572
6,false_warmup_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.1787206977616885
6,false_warmup_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.18301412205452017
6,false_warmup_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.1860373882647919
6,false_warmup_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.21640715057593354
6,false_warmup_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.23977934945027893
6,negative_worst_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.28383629939289534
6,negative_worst_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.2905735219042098
6,negative_worst_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.291785379943015
6,negative_worst_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.3164516703925426
6,negative_worst_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.3576870531539928
6,negative_worst_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.38851854449071244
6,negative_p10_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.09125360788765301
6,negative_p10_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.09186195346150533
6,negative_p10_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.09273944262646656
6,negative_p10_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.09594713972882955
6,negative_p10_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.11082347060433695
6,negative_p10_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.14408957584999685
